Action,Lieux,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20
Ne rien faire,Maison,-0.037582,-0.036377,-0.029205,-0.045959,-0.045959,-0.039978,-0.026810,-0.041168,-0.045959,-0.043564,-0.047165,-0.033997,-0.033997,-0.044769,-0.042374,-0.038773,-0.053146,-0.041168,-0.035187,-0.042374,0.410385,0.405594,0.416367,0.418762,0.412781,0.406799,0.399612,0.400818,0.385254,0.399612,0.417572,0.403198,0.405594,0.404404,0.405594,0.402008,0.402008,0.416367,0.417572,0.396027,9.816788,9.882629,9.869461,9.858688,9.867065,9.889816,9.863480,9.874252,9.882629,9.881439,9.871857,9.885025,9.881439,9.870667,9.882629,9.873047,9.863480,9.876648,9.874252,9.874252,10.189590,10.251846,10.256622,10.231491,10.233887,10.256638,10.236282,10.233902,10.221924,10.237488,10.242264,10.254227,10.253036,10.230301,10.245850,10.236282,10.212341,10.251846,10.256638,10.227905
Courrir,Maison,0.001923,-0.169266,0.684265,3.116776,0.067764,1.577301,-0.595428,-14.565598,-24.390198,1.770035,18.513885,-39.862732,-12.349762,4.954330,-39.741821,-0.484100,-16.373215,-35.781815,-4.514740,-27.635544,6.072678,7.709106,5.951767,7.037537,7.201538,5.891907,6.195969,-0.728058,11.744537,12.098877,3.995712,39.704025,-30.173141,-38.746780,24.995255,23.174454,14.326691,-14.109253,-33.449615,-17.102005,6.272171,6.338013,6.791718,7.081421,9.132050,10.269287,5.075073,7.638062,22.173264,6.613342,8.168381,38.917114,-4.566376,-1.213303,-12.873062,9.081772,12.260071,1.845291,-4.267105,-1.106750,12.346771,13.877853,13.427750,17.235733,16.401352,17.738495,10.675613,-7.655594,9.527603,20.482254,30.677979,38.758408,-47.089279,-35.005753,-27.619629,31.772125,10.213547,-48.045776,-42.231461,-45.844299
Courrir,Maison,-1.343613,-1.826050,-2.940552,-3.952103,-3.660004,-2.241440,-7.217789,-8.414886,-1.134125,2.707367,-16.003311,-6.482773,-8.004288,-1.699158,-1.621353,11.974121,-13.018936,-8.133575,-4.191528,-12.971054,4.263855,6.860367,9.406601,11.386612,3.315750,-0.920792,0.611496,13.926849,13.742493,9.891434,15.663849,-1.750381,-2.571594,10.026703,9.568207,14.382950,15.062897,-3.439484,-7.526398,11.896576,7.627289,6.256607,6.834808,18.973419,6.579834,-1.476654,7.720673,20.453033,2.293015,3.934235,23.344025,-2.147034,0.211258,2.832901,0.800232,-2.077606,32.072098,-0.936768,-14.862640,35.643051,10.547531,11.290924,13.300858,26.407928,6.235580,-4.638885,1.114380,25.964996,14.901382,16.533035,23.004562,-10.380188,-10.364624,11.160446,8.747086,24.279465,34.116058,-12.509827,-26.580566,34.568573
Courrir,Maison,4.222900,6.473450,7.469437,7.258743,14.580215,30.217941,13.117355,-11.800293,20.655502,38.461182,8.858078,32.596588,6.155014,-4.136459,30.732697,0.037842,13.117355,7.672943,24.621506,-13.357727,2.589111,1.253143,2.516083,6.230698,21.081924,15.851791,-12.547028,-28.766556,-23.370026,11.378220,34.900055,1.261520,-18.052505,-16.497467,13.668274,-4.239151,7.019577,16.956711,-15.806732,-24.917877,4.945786,4.671646,5.333649,7.791290,12.468369,21.712387,-1.942337,-0.698547,-15.196625,17.305847,11.638779,10.366257,0.775085,-9.807281,7.542297,4.301743,-5.965790,30.750488,2.348083,4.141342,11.757797,12.398239,15.319168,21.280731,48.130508,67.782120,-1.372009,-41.265396,-17.911148,67.145248,55.396912,44.224365,-11.122406,-30.441208,51.943268,0.100433,14.171143,55.380142,11.162857,-34.134262
Courrir,Maison,-2.145676,5.169800,15.764145,-11.289139,6.721252,32.100983,31.261810,5.119522,26.982178,29.334488,-12.155838,18.025467,38.421677,4.674210,2.333878,38.588074,5.830612,-13.853317,23.205322,14.193558,7.539124,27.577393,-11.281693,-19.632675,-31.481583,-17.432404,14.639130,20.172134,8.276535,-24.057159,-29.982803,-25.643311,2.329346,23.392334,5.607010,11.281265,-13.762085,-30.473618,-27.620926,18.706879,6.627716,38.917114,11.944046,-5.020081,-4.105499,12.227753,16.685760,6.355972,9.991562,0.395599,-5.667709,-2.971832,-2.338577,-7.243088,-3.096344,24.363953,-5.538422,-13.665543,2.462997,18.749557,12.021164,71.664307,16.426498,-35.941895,-28.865829,26.896332,62.586700,31.647629,45.250275,5.672928,-47.806351,-10.589676,38.412445,20.823456,4.844543,74.233292,-13.469894,-57.992477,-1.952606,51.649994
Courrir,Maison,8.358887,11.200806,21.062515,20.843445,38.250488,-6.992737,-4.970840,35.036270,-12.719666,31.541946,9.912720,-2.561066,31.106201,3.315491,14.769363,1.753281,29.640945,-0.664856,16.871475,22.713318,-3.152191,-1.351746,9.954880,17.175781,-22.997726,-22.046021,-32.599670,23.198395,29.136017,20.836517,-14.691040,-23.088699,-2.399200,13.828690,2.954224,17.078827,5.702774,-23.833298,-32.682266,-10.704697,11.608856,5.398285,14.180222,12.799973,9.917343,1.244354,0.211258,14.697372,6.377518,21.882370,-1.420395,-10.519562,-11.140854,1.123444,14.393311,15.663437,31.881760,-3.797836,-5.039230,-1.406036,16.815552,15.247345,45.197617,50.819199,25.170105,-27.794403,-37.359253,72.932037,22.793869,74.260834,-6.198715,-36.169327,17.566147,18.267624,32.116898,34.495544,67.225479,-28.295990,-20.850021,10.602585
Courrir,Maison,5.894058,14.450928,7.192902,-0.808517,38.588074,0.842285,-11.629105,17.053421,38.522232,18.341507,9.988144,35.498352,29.818115,-11.225693,0.240143,30.683624,13.032364,-2.771759,3.608795,31.980072,-10.333588,-6.026428,8.011978,15.143112,21.505692,-20.457474,-30.516708,-31.249344,-13.034256,20.605484,17.282333,-0.385681,-30.173141,-18.008209,-12.442886,-1.074020,21.663712,8.010788,9.279709,-6.259857,2.339691,26.442123,18.006165,14.491470,36.774307,-15.572525,11.268875,-5.621017,6.768967,13.406891,10.845093,17.190933,1.332932,-4.117462,-9.199158,4.225128,3.466171,-2.423569,1.478989,-0.017395,-2.099838,34.866623,33.211044,28.826065,96.868073,-35.187714,-30.876938,-19.816940,32.256943,52.353882,38.115570,52.303604,0.977905,-33.351364,-21.401901,33.834732,38.162247,2.815460,14.367493,25.702820
Courrir,Maison,11.903503,-3.033920,-0.257843,24.323425,26.081955,-9.966339,3.222122,38.317535,12.224319,7.975815,38.588074,11.260651,6.639847,9.940247,6.198120,18.104477,12.754639,1.214584,38.588074,-3.432556,-12.057419,1.031677,15.335846,9.254562,-13.100098,-19.493805,-38.069229,-15.204590,21.480560,14.180634,10.846710,-14.400146,-9.565048,-4.480972,-11.476822,3.106262,24.716324,21.618225,14.817490,-19.729630,6.395477,20.011307,12.722153,28.137222,9.445694,-11.641235,-21.174957,38.560379,22.100235,-5.393570,38.917114,-25.000885,-9.401474,-1.830994,0.957047,20.736740,3.529617,-6.553558,29.574936,-10.199936,6.241562,18.009064,27.800156,61.715210,22.427551,-41.101379,-56.022064,61.673325,55.805115,16.762878,88.351898,-28.140381,-12.326675,3.628281,-4.321655,41.947479,41.000580,16.279251,82.980499,-33.362122
Courrir,Maison,8.319382,0.023468,-5.351517,24.028931,17.227005,7.959045,8.315781,-3.992798,1.876587,-3.525940,1.870590,5.504990,9.268677,6.248398,6.054459,1.801163,3.378937,34.177948,-6.880203,0.460419,-13.199448,9.605316,17.928757,7.543915,-13.517883,-10.086990,-7.855591,13.998672,10.451675,6.886703,8.931351,2.641785,-8.773773,-1.332596,7.479263,24.535568,9.405411,-1.156616,-10.726242,-25.269821,30.147156,8.508362,10.584137,38.911133,-2.036896,-4.827347,-0.411240,20.620621,5.476105,7.867905,11.170715,1.642990,-1.180969,3.717560,14.593216,18.863281,1.010910,0.202881,-7.662079,-9.156067,25.267090,18.137146,23.161377,70.483978,1.672226,-6.955292,0.048950,30.626495,17.804367,11.228668,21.972656,9.789764,-0.686066,8.633362,28.126938,45.200012,13.795258,33.224213,-25.268524,-33.965469
S'allonger (depuis position debout),Maison,0.574142,-0.035187,0.112061,-0.042374,0.153961,0.296402,-0.263840,-2.206726,-4.367493,-2.508392,-0.721130,1.195435,-1.028778,-5.419754,-11.814667,-13.606720,-13.239212,-10.897675,-9.926834,-9.202591,6.376740,5.946976,4.585876,3.955002,4.755859,5.696793,6.686783,7.211121,9.983597,10.512726,11.398575,9.028320,5.778183,0.586365,-3.325760,-0.444336,-0.307877,-0.470673,-0.720871,-0.426392,7.986420,6.335617,5.142105,5.618561,6.394272,8.634048,9.185913,8.388657,10.791229,7.468079,3.068726,0.046051,-0.627914,-5.545609,-10.175995,-3.485397,-2.314636,1.305405,1.480179,-0.217316,14.937302,12.247406,9.840042,9.531189,11.304092,14.627243,15.608856,13.393051,16.407333,15.472412,13.746170,10.269806,4.121490,-10.378998,-25.316422,-17.536453,-15.861725,-10.062943,-9.167526,-9.846298
